A1 Burn Tool Log Started
Config: [Embedded Resource]
------------------------------------------------
[2026-04-12 16:30:19.299] Starting Burn Process...
[2026-04-12 16:30:19.300] SPI Write: Addr=0x31000103 Data=0x00000001 Len=1
[2026-04-12 16:30:19.301] SPI Write: Addr=0x310032f6 Data=0x00000053 Len=1
[2026-04-12 16:30:19.302] SPI Write: Addr=0x310032f5 Data=0x00000003 Len=1
[2026-04-12 16:30:19.302] SPI Write: Addr=0x310032e5 Data=0x0000000f Len=1
[2026-04-12 16:30:19.415] SPI Write: Addr=0x3100302a Data=0x00000000 Len=1
[2026-04-12 16:30:19.416] SPI Write: Addr=0x31003238 Data=0x00000000 Len=1
[2026-04-12 16:30:19.417] SPI Write: Addr=0x31003070 Data=0x00000000 Len=1
[2026-04-12 16:30:19.418] SPI Write: Addr=0x310036d8 Data=0x00000000 Len=1
[2026-04-12 16:30:19.434] SPI Write: Addr=0x310036d9 Data=0x00000014 Len=1
[2026-04-12 16:30:19.435] SPI Write: Addr=0x310036da Data=0x0000000b Len=1
[2026-04-12 16:30:19.436] SPI Write: Addr=0x310036db Data=0x0000000e Len=1
[2026-04-12 16:30:19.437] SPI Write: Addr=0x310036dc Data=0x00000040 Len=1
[2026-04-12 16:30:19.438] SPI Write: Addr=0x310036dd Data=0x00000068 Len=1
[2026-04-12 16:30:19.439] SPI Write: Addr=0x31001000 Data=0x03030020 Len=4
[2026-04-12 16:30:19.440] SPI Write: Addr=0x31001004 Data=0x204106da Len=4
[2026-04-12 16:30:19.441] SPI Write: Addr=0x31001008 Data=0x81000f0e Len=4
[2026-04-12 16:30:19.442] SPI Write: Addr=0x3100100c Data=0xb9243208 Len=4
[2026-04-12 16:30:19.442] SPI Write: Addr=0x31001010 Data=0x0c110a0a Len=4
[2026-04-12 16:30:19.443] SPI Write: Addr=0x31001014 Data=0x0904081b Len=4
[2026-04-12 16:30:19.443] SPI Write: Addr=0x31001018 Data=0x0878401f Len=4
[2026-04-12 16:30:19.446] SPI Write: Addr=0x3100101c Data=0x925b40ff Len=4
[2026-04-12 16:30:19.446] SPI Write: Addr=0x31001020 Data=0x69082802 Len=4
[2026-04-12 16:30:19.447] SPI Write: Addr=0x31001028 Data=0x0000040c Len=4
[2026-04-12 16:30:19.448] SPI Write: Addr=0x3100102c Data=0x0f041f0e Len=4
[2026-04-12 16:30:19.450] SPI Write: Addr=0x31001030 Data=0x3b060156 Len=4
[2026-04-12 16:30:19.451] SPI Write: Addr=0x31001034 Data=0x0c080c00 Len=4
[2026-04-12 16:30:19.452] SPI Write: Addr=0x3100103c Data=0x0e000000 Len=4
[2026-04-12 16:30:19.453] SPI Write: Addr=0x31001048 Data=0x1124400c Len=4
[2026-04-12 16:30:19.454] SPI Write: Addr=0x3100104c Data=0x8028c000 Len=4
[2026-04-12 16:30:19.455] SPI Write: Addr=0x31001198 Data=0x000d0a0e Len=4
[2026-04-12 16:30:19.456] SPI Write: Addr=0x3100119c Data=0x02060405 Len=4
[2026-04-12 16:30:19.457] SPI Write: Addr=0x310011a0 Data=0x3f3f1a05 Len=4
[2026-04-12 16:30:19.459] SPI Write: Addr=0x310011b4 Data=0x00000000 Len=4
[2026-04-12 16:30:19.460] SPI Write: Addr=0x310011b8 Data=0x09220922 Len=4
[2026-04-12 16:30:19.461] SPI Write: Addr=0x310011bc Data=0x09220922 Len=4
[2026-04-12 16:30:19.462] SPI Write: Addr=0x310011c0 Data=0x24622462 Len=4
